review_id,product_id,customer_id,rating,review_date,review_text
4,101,1004,4.5,"2024-12-04","Excellent quality, exceeded my expectations!"
44,1011,10044,4.5,"2024-12-","Excellent quality, exceeded my expectations!"
444,1014,1014,6,"2024-12-04"
1,163,1700,3,2024-02-08,Average
2,125,1035,4,2024-06-18,Good
3,189,1154,1,2024-11-02,Terrible
4,148,1588,4,2024-03-09,Good
5,122,1347,2,2024-09-23,Poor
6,157,1733,2,2024-09-02,Poor
7,110,1841,3,2024-06-28,Average
8,198,1037,3,2024-06-06,Average
9,142,1146,3,2024-04-28,Average
10,176,1852,3,2024-09-22,Average
11,149,1744,2,2024-04-09,Poor
12,129,1812,4,2024-07-20,Good
13,125,1705,3,2024-04-05,Average
14,173,1440,3,2024-11-13,Average
15,198,1693,5,2024-01-09,Excellent
16,153,1003,4,2024-07-06,Good
17,183,1443,4,2024-08-31,Good
18,164,1676,3,2024-09-08,Average
19,164,1417,4,2024-02-14,Good
20,141,1295,5,2024-11-21,Excellent
21,196,1647,4,2024-03-03,Good
22,147,1125,2,2024-02-04,Poor
23,102,1409,2,2024-07-29,Poor
24,102,1762,4,2024-11-21,Good
25,105,1477,2,2024-04-19,Poor
26,120,1364,1,2024-08-27,Terrible
27,179,1674,4,2024-01-17,Good
28,158,1406,2,2024-05-27,Poor
29,166,1805,2,2024-02-19,Poor
30,196,1229,4,2024-04-30,Good
31,123,1522,5,2024-02-06,Excellent
32,116,1224,5,2024-06-07,Excellent
33,183,1588,3,2024-10-16,Average
34,185,1788,1,2024-03-06,Terrible
35,130,1310,1,2024-01-27,Terrible
36,154,1882,1,2024-02-29,Terrible
37,172,1721,4,2024-10-02,Good
38,163,1455,3,2024-01-24,Average
39,176,1456,3,2024-07-22,Average
40,100,1099,1,2024-04-19,Terrible
41,127,1346,1,2024-05-14,Terrible
42,100,1600,4,2024-11-10,Good
43,154,1019,1,2024-03-07,Terrible
44,120,1632,5,2024-10-04,Excellent
45,156,1260,1,2024-08-05,Terrible
46,192,1877,3,2024-05-03,Average
47,164,1250,3,2024-10-24,Average
48,106,1940,2,2024-03-11,Poor
49,141,1112,5,2024-06-28,Excellent
50,172,1683,2,2024-10-13,Poor
51,175,1441,3,2024-01-08,Average
52,154,1326,5,2024-02-03,Excellent
53,178,1853,4,2024-06-19,Good
54,136,1053,5,2024-05-11,Excellent
55,112,1088,5,2024-03-13,Excellent
56,106,1595,1,2024-11-25,Terrible
57,130,1489,3,2024-02-27,Average
58,180,1937,3,2024-06-28,Average
59,173,1651,1,2024-03-24,Terrible
60,189,1740,2,2024-03-10,Poor
61,145,1619,3,2024-10-30,Average
62,179,1497,1,2024-02-28,Terrible
63,172,1532,2,2024-07-31,Poor
64,139,1683,2,2024-07-08,Poor
65,155,1554,3,2024-12-08,Average
66,163,1004,3,2024-02-28,Average
67,151,1311,2,2024-11-14,Poor
68,107,1696,5,2024-10-18,Excellent
69,186,1052,3,2024-10-27,Average
70,151,1360,4,2024-03-09,Good
71,104,1149,1,2024-10-27,Terrible
72,149,1959,5,2024-04-15,Excellent
73,157,1818,3,2024-05-14,Average
74,195,1785,2,2024-03-13,Poor
75,186,1916,2,2024-01-12,Poor
76,100,1636,5,2024-11-15,Excellent
77,149,1815,5,2024-07-07,Excellent
78,134,1638,2,2024-09-03,Poor
79,109,1013,3,2023-12-30,Average
80,155,1190,1,2024-03-14,Terrible
81,133,1516,2,2024-10-19,Poor
82,127,1783,3,2024-02-15,Average
83,144,1817,5,2024-08-11,Excellent
84,101,1737,5,2024-01-22,Excellent
85,145,1566,5,2024-06-18,Excellent
86,200,1219,4,2024-11-04,Good
87,142,1358,3,2024-09-28,Average
88,188,1275,5,2024-03-26,Excellent
89,100,1008,4,2024-11-25,Good
90,107,1586,3,2024-08-08,Average
91,170,1989,2,2024-02-08,Poor
92,106,1177,1,2024-08-10,Terrible
93,187,1422,2,2024-10-13,Poor
94,182,1505,1,2024-06-16,Terrible
95,175,1847,2,2024-05-20,Poor
96,172,1395,5,2024-09-10,Excellent
97,124,1283,3,2024-05-08,Average
98,165,1072,5,2024-04-17,Excellent
99,130,1967,2,2024-02-02,Poor
100,176,1624,2,2024-06-22,Poor
101,171,1819,4,2024-02-05,Good
102,189,1791,4,2024-03-17,Good
103,109,1687,3,2024-04-05,Average
104,117,1440,5,2024-06-09,Excellent
105,186,1572,3,2024-11-28,Average
106,120,1937,1,2024-03-11,Terrible
107,144,1209,1,2023-12-31,Terrible
108,176,1938,3,2024-06-23,Average
109,111,1298,2,2024-02-29,Poor
110,101,1627,3,2024-11-26,Average
111,103,1821,3,2024-10-20,Average
112,174,1531,2,2024-03-07,Poor
113,153,1329,2,2024-09-24,Poor
114,191,1362,4,2024-10-11,Good
115,114,1179,2,2024-08-08,Poor
116,104,1475,3,2024-05-10,Average
117,167,1941,4,2024-03-11,Good
118,121,1907,2,2024-07-11,Poor
119,171,1042,5,2024-03-21,Excellent
120,104,1692,1,2024-03-03,Terrible
121,113,1278,2,2024-10-02,Poor
122,157,1283,3,2024-05-13,Average
123,133,1842,3,2024-11-28,Average
124,102,1789,2,2024-05-30,Poor
125,110,1729,3,2024-06-23,Average
126,181,1901,3,2024-10-02,Average
127,107,1358,4,2024-01-14,Good
128,198,1458,3,2024-09-06,Average
129,180,1060,4,2024-07-25,Good
130,134,1638,4,2024-02-13,Good
131,159,1816,3,2024-03-16,Average
132,139,1339,1,2024-06-03,Terrible
133,129,1165,5,2024-07-01,Excellent
134,176,1718,5,2024-07-24,Excellent
135,114,1928,5,2024-08-29,Excellent
136,140,1634,3,2024-07-14,Average
137,151,1330,4,2024-09-09,Good
138,195,1912,3,2024-10-19,Average
139,191,1604,5,2024-06-02,Excellent
140,187,1771,4,2024-01-05,Good
141,147,1016,1,2024-03-24,Terrible
142,139,1654,5,2024-04-17,Excellent
143,190,1091,1,2024-07-24,Terrible
144,193,1168,1,2024-05-12,Terrible
145,129,1509,1,2024-01-22,Terrible
146,178,1603,4,2024-05-31,Good
147,188,1488,4,2024-02-21,Good
148,163,1612,2,2024-09-12,Poor
149,119,1524,2,2024-11-16,Poor
150,163,1930,2,2024-07-17,Poor
151,124,1314,1,2024-02-21,Terrible
152,116,1164,2,2024-03-21,Poor
153,187,1254,5,2024-06-30,Excellent
154,141,1779,5,2024-10-24,Excellent
155,110,1064,3,2024-05-25,Average
156,116,1194,3,2024-10-19,Average
157,148,1962,1,2024-11-07,Terrible
158,150,1632,1,2024-07-12,Terrible
159,117,1262,1,2024-08-25,Terrible
160,153,1288,4,2024-09-10,Good
161,123,1862,5,2024-03-15,Excellent
162,198,1751,4,2024-02-13,Good
163,133,1924,3,2024-08-19,Average
164,126,1783,1,2024-04-19,Terrible
165,188,1931,5,2024-08-05,Excellent
166,167,1990,2,2024-10-21,Poor
167,124,1701,2,2024-07-06,Poor
168,118,1784,2,2024-01-03,Poor
169,176,1471,4,2024-08-04,Good
170,115,1768,1,2024-08-23,Terrible
171,146,1873,2,2024-06-17,Poor
172,156,1689,3,2024-05-26,Average
173,188,1908,1,2024-08-13,Terrible
174,154,1923,1,2024-10-19,Terrible
175,129,1154,1,2024-03-03,Terrible
176,174,1070,5,2024-11-27,Excellent
177,124,1013,2,2024-03-16,Poor
178,156,1262,3,2024-03-05,Average
179,109,1446,3,2024-12-07,Average
180,187,1915,2,2024-04-27,Poor
181,145,1603,2,2024-05-21,Poor
182,192,1354,1,2024-11-29,Terrible
183,106,1584,2,2024-01-25,Poor
184,169,1573,3,2024-05-25,Average
185,188,1395,3,2024-06-15,Average
186,135,1374,2,2024-04-29,Poor
187,101,1450,5,2024-08-23,Excellent
188,179,1848,5,2024-08-28,Excellent
189,128,1641,5,2024-03-29,Excellent
190,168,1989,3,2024-09-24,Average
191,193,1423,4,2024-05-15,Good
192,190,1898,1,2024-06-17,Terrible
193,141,1026,2,2024-05-13,Poor
194,164,1575,4,2024-03-22,Good
195,195,1809,1,2024-11-18,Terrible
196,118,1719,5,2024-01-13,Excellent
197,194,1785,5,2024-04-24,Excellent
198,162,1568,4,2024-05-04,Good
199,113,1251,3,2024-09-08,Average
200,188,1527,4,2024-04-11,Good
201,153,1582,5,2024-09-04,Excellent
202,101,1953,5,2024-06-20,Excellent
203,168,1790,5,2024-09-14,Excellent
204,196,1425,2,2024-01-15,Poor
205,200,1563,4,2024-06-24,Good
206,183,1057,3,2024-06-24,Average
207,129,1405,1,2024-09-11,Terrible
208,168,1695,4,2024-11-16,Good
209,106,1070,1,2024-10-10,Terrible
210,142,1569,1,2024-09-24,Terrible
211,105,1414,3,2024-03-13,Average
212,172,1990,5,2024-09-30,Excellent
213,100,1412,3,2024-08-10,Average
214,180,1004,4,2024-08-06,Good
215,143,1352,2,2024-09-03,Poor
216,154,1784,1,2024-03-28,Terrible
217,132,1490,1,2024-01-01,Terrible
218,186,1325,3,2024-04-15,Average
219,166,1434,3,2024-02-12,Average
220,101,1735,4,2024-08-18,Good
221,136,1576,2,2024-02-28,Poor
222,127,1502,2,2024-06-23,Poor
223,164,1541,1,2024-10-19,Terrible
224,156,1803,3,2024-07-02,Average
225,135,1618,3,2024-08-12,Average
226,107,1151,3,2024-04-01,Average
227,150,1947,4,2024-11-10,Good
228,195,1775,5,2024-07-19,Excellent
229,114,1700,1,2024-06-21,Terrible
230,104,1551,1,2024-12-01,Terrible
231,144,1975,5,2024-12-05,Excellent
232,181,1804,5,2024-03-27,Excellent
233,157,1027,4,2024-03-22,Good
234,190,1735,5,2024-01-15,Excellent
235,200,1332,1,2024-06-29,Terrible
236,168,1444,2,2024-02-11,Poor
237,104,1250,4,2024-09-01,Good
238,183,1686,3,2024-01-13,Average
239,130,1980,1,2024-11-04,Terrible
240,172,1051,3,2024-04-04,Average
241,197,1042,4,2024-05-06,Good
242,151,1481,1,2024-11-22,Terrible
243,105,1859,4,2024-03-03,Good
244,109,1072,3,2024-10-03,Average
245,151,1963,5,2024-01-26,Excellent
246,190,1740,4,2024-03-05,Good
247,165,1230,1,2024-02-07,Terrible
248,119,1029,3,2024-11-25,Average
249,170,1108,3,2024-02-19,Average
250,115,1255,3,2024-02-05,Average
251,172,1500,1,2024-11-18,Terrible
252,161,1148,2,2024-05-04,Poor
253,196,1736,3,2024-06-25,Average
254,160,1678,3,2024-02-03,Average
255,135,1983,3,2024-07-24,Average
256,152,1192,1,2024-05-21,Terrible
257,113,1792,4,2024-08-01,Good
258,153,1995,5,2024-09-11,Excellent
259,156,1755,5,2024-08-11,Excellent
260,121,1456,4,2024-02-10,Good
261,154,1895,4,2024-03-17,Good
262,113,1033,2,2024-01-13,Poor
263,139,1468,3,2024-08-12,Average
264,186,1140,2,2024-08-20,Poor
265,185,1645,1,2024-07-12,Terrible
266,163,1719,4,2024-11-27,Good
267,116,1876,2,2024-05-05,Poor
268,111,1438,3,2024-08-14,Average
269,193,1448,4,2024-03-03,Good
270,193,1464,5,2024-08-25,Excellent
271,100,1455,1,2024-09-03,Terrible
272,124,1883,5,2024-11-06,Excellent
273,118,1885,5,2024-04-05,Excellent
274,148,1775,4,2024-01-11,Good
275,145,1625,1,2024-03-05,Terrible
276,156,1328,1,2024-05-17,Terrible
277,167,1305,3,2024-09-12,Average
278,190,1694,3,2024-10-23,Average
279,188,1743,3,2024-08-26,Average
280,118,1581,4,2024-06-20,Good
281,140,1463,2,2024-04-30,Poor
282,176,1426,1,2024-01-07,Terrible
283,177,1149,5,2024-09-02,Excellent
284,152,1775,5,2024-01-08,Excellent
285,107,1351,4,2024-12-09,Good
286,167,1172,1,2024-11-28,Terrible
287,192,1783,4,2024-05-27,Good
288,137,1496,3,2024-05-01,Average
289,119,1929,4,2024-05-31,Good
290,191,1478,2,2024-03-31,Poor
291,158,1841,4,2024-03-23,Good
292,188,1958,1,2024-11-23,Terrible
